Pais,Region,Poblacion,Psicologos Practicantes
Perú,Nacional ,"33,845,616",73332
,Año,"2,023",2025
Argentina,Nacional ,"43,900,312",97710
,Año,"2,023",2016
Bolivia,Nacional ,"12,244,161",
,Año,,
Chile,Nacional ,"19,658,833",79467
,Año,"2,023",2023
Colombia ,Nacional ,"52,321,152",67996
,Año,"2,023",2022
Costa Rica,Nacional ,"5,105,526",10104
,Año,"2,023",2026
Cuba,Nacional ,"11,019,932",
,Año,"2,023",
Republica Dominicana,Nacional ,"11,331,269",14438
,Año,"2,023",2026
Ecuador,Nacional ,"17,980,079",
,Año,"2,023",
El Salvador,Nacional ,"6,309,629",
,Año,"2,023",
España,Nacional ,"47,911,583",38427
,Año,"2,023",2023
Guinea Ecuatorial ,Nacional ,"1,847,556",
,Año,"2,023",
Guatemala,Nacional ,"18,124,841",9730
,Año,"2,023",2025
Honduras,Nacional ,"10,644,853",
,Año,"2,023",
Mexico,Nacional ,"129,739,761",324272
,Año,"2,023",2025
Nicaragua,Nacional ,"6,823,619",
,Año,"2,023",
Panama,Nacional ,"4,458,758",
,Año,"2,023",
Paraguay,Nacional ,"6,844,150",
,Año,"2,023",
Puerto Rico,Nacional ,"3,242,022","3,916"
,Año,"2,023","2,024"
Uruguay,Nacional ,"3,388,083",7543
,Año,"2,023",2014
Venezuela,Nacional ,"28,300,861",
,Año,"2,023",
Estados Unidos Continental,Nacional ,"343,477,330","5,000"
,Año,"2,023",
